"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs4236540-<b>T</b>,"8 x 10-7",(conditional),0.7143,'-,"0.0282 unit decrease",NR,"SMURF1, KPNA7","Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,7:99171402
rs4523932-<b>A</b>,"5 x 10-6",(conditional),0.0119,'-,"0.1047 unit decrease",NR,NSMCE1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,16:27265406
rs4821544-<b>T</b>,"4 x 10-7",(conditional),0.6854,'-,"0.0290989 unit decrease",NR,"NCF4, NCF4-AS1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,22:36862461
rs550057-<b>T</b>,"3 x 10-7",(conditional),0.2806,'-,"0.0293763 unit increase",NR,ABO,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,9:133271182
rs5756391-<b>A</b>,"9 x 10-6",(conditional),0.352,'-,"0.0231752 unit decrease",NR,"NCF4, CSF2RB","Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,22:36902302
rs6909158-<b>T</b>,"7 x 10-6",(conditional),0.8078,'-,"0.0297268 unit decrease",NR,"RAET1K, AL355497.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,6:149979828
rs7092926-<b>T</b>,"7 x 10-7",(conditional),0.432,'-,"0.0258662 unit increase",NR,STAM,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,10:17664114
rs73078636-<b>A</b>,"1 x 10-7",(conditional),0.148,'-,"0.0403 unit decrease",NR,DCAF1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,3:51403873
rs75539558-<b>C</b>,"2 x 10-6",(conditional),0.6633,'-,"0.025 unit increase",NR,SGF29,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,16:28584489
rs7562-<b>T</b>,"9 x 10-7",(conditional),0.5306,'-,"0.0251 unit increase",NR,FOSL2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,2:28412873
rs7925585-<b>A</b>,"3 x 10-6",(conditional),0.6565,'-,"0.0244 unit increase",NR,PRR5L,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,11:36365351
rs8045689-<b>T</b>,"6 x 10-6",(conditional),0.7466,'-,"0.0249 unit increase",NR,"SPNS1, AC109460.3, AC109460.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,16:28976948
rs8056890-<b>A</b>,"2 x 10-6",(conditional),0.2959,'-,"0.0254 unit decrease",NR,ATP2A1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,16:28886131
rs9397706-<b>A</b>,"5 x 10-7",(conditional),0.5272,'-,"0.0257086 unit increase",NR,"AL357075.4, IPCEF1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,6:154341513
CADM3-<b>?</b>,"3 x 10-8",(conditional),NR,'-,'-,'-,'-,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,"Mapping not available"
SLC39A8-<b>?</b>,"3 x 10-8",(conditional),NR,'-,'-,'-,'-,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,"Mapping not available"
LRRC43-<b>?</b>,"3 x 10-8",(conditional),NR,'-,'-,'-,'-,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,"Mapping not available"
KLF5-<b>?</b>,"3 x 10-8",(conditional),NR,'-,'-,'-,'-,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST007732,"Mapping not available"
rs4916533-<b>?</b>,"2 x 10-8",,NR,1.0752687,'-,'-,"NRROS, PIGX","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,3:196646711
rs12743520-<b>?</b>,"4 x 10-8",,NR,1.0752687,'-,'-,EVI5,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,1:92571555
rs1017494-<b>?</b>,"2 x 10-16",,NR,1.0638298,'-,'-,"AC104394.1, AC010148.1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,2:234770601
rs1214598-<b>?</b>,"5 x 10-11",,NR,1.0526316,'-,'-,"CD247, AL359962.3","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,1:167457187
rs659529-<b>?</b>,"6 x 10-11",,NR,1.0526316,'-,'-,"LAYN, SIK2","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,11:111566171
rs3208007-<b>?</b>,"3 x 10-10",,NR,1.0526316,'-,'-,"RTEL1-TNFRSF6B, RTEL1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,20:63690935
rs301805-<b>?</b>,"6 x 10-9",,NR,1.0416667,'-,'-,RERE,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,1:8420956
rs742230-<b>?</b>,"1 x 10-8",,NR,1.0416667,'-,'-,RUNX3,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,1:24924933
rs10876864-<b>?</b>,"1 x 10-13",,NR,1.05,'-,'-,"IKZF4, SUOX","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,12:56007301
rs56267605-<b>?</b>,"3 x 10-12",,NR,1.05,'-,'-,"ADAD1, IL2","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,4:122441954
rs6461503-<b>?</b>,"3 x 10-10",,NR,1.05,'-,'-,"EEF1A1P27, ITGB8","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,7:20521373
rs10795656-<b>?</b>,"4 x 10-10",,NR,1.05,'-,'-,"CHCHD3P1, KRT8P37","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,10:8553876
rs8008961-<b>?</b>,"1 x 10-8",,NR,1.05,'-,'-,RAD51B,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,14:68285926
rs270636-<b>?</b>,"4 x 10-11",,NR,1.06,'-,'-,LINC02121,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,5:5074712
rs793607-<b>?</b>,"3 x 10-28",,NR,1.08,'-,'-,"DUBR, AC063944.1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,3:107340876
rs276666-<b>?</b>,"8 x 10-11",,NR,1.08,'-,'-,"AL589645.1, FAM205C","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,9:34889447
rs2169282-<b>?</b>,"2 x 10-10",,NR,1.09,'-,'-,"TPD52L3, UHRF2","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,9:6350235
rs2136016-<b>?</b>,"2 x 10-9",,NR,1.09,'-,'-,AC034114.2,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,8:80388446
rs10074523-<b>?</b>,"2 x 10-10",,NR,1.1,'-,'-,KIF3A,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,5:132724891
rs2548992-<b>?</b>,"5 x 10-10",,NR,1.1,'-,'-,"AC116366.2, AC116366.3, IRF1-AS1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,5:132472976
rs869402-<b>?</b>,"4 x 10-17",,NR,1.12,'-,'-,GSDMB,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,17:39911790
rs61839660-<b>?</b>,"2 x 10-11",,NR,1.12,'-,'-,IL2RA,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,10:6052734
rs7705653-<b>?</b>,"1 x 10-19",,NR,1.14,'-,'-,"AC008782.1, SLC25A46","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,5:110807116
rs61816766-<b>?</b>,"5 x 10-12",,NR,1.14,'-,'-,FLG-AS1,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,1:152347096
rs61815704-<b>?</b>,"5 x 10-9",,NR,1.14,'-,'-,"IVL, LINC01527","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,1:152921415
rs56062135-<b>?</b>,"2 x 10-22",,NR,1.16,'-,'-,SMAD3,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,15:67163292
rs9775039-<b>?</b>,"4 x 10-22",,NR,1.18,'-,'-,"AL162384.1, GTF3AP1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,9:6177453
rs45605540-<b>?</b>,"4 x 10-10",,NR,1.07,'-,[1.05-1.1],KIAA1109,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,4:122219899
rs12339348-<b>?</b>,"2 x 10-8",,NR,1.07,'-,[1.05-1.1],IL33,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,9:6233082
rs146668528-<b>?</b>,"5 x 10-12",,NR,1.1904762,'-,[1.12-1.25],HLA-DQA1,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,6:32630251
rs72823641-<b>?</b>,"4 x 10-24",,NR,1.1627907,'-,[1.14-1.2],"IL1RL1, IL18R1","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,2:102319699
rs148906978-<b>?</b>,"1 x 10-16",,NR,1.1235955,'-,[1.09-1.15],"TLR1, TLR6","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,4:38852748
rs4833093-<b>?</b>,"7 x 10-20",,NR,1.1235955,'-,[1.1-1.16],"TLR10, TLR1","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,4:38788119
rs10414065-<b>?</b>,"3 x 10-8",,NR,1.1235955,'-,[1.08-1.18],"AC008738.6, SLC7A10","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,19:33230549
rs12413578-<b>?</b>,"5 x 10-10",,NR,1.1111112,'-,[1.08-1.15],"AC044784.1, LINC00709","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,10:9007290
rs3024971-<b>?</b>,"1 x 10-9",,NR,1.1111112,'-,[1.08-1.15],STAT6,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,12:57099944
rs34290285-<b>?</b>,"2 x 10-15",,NR,1.098901,'-,[1.08-1.12],D2HGDH,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,2:241759225
rs10174949-<b>?</b>,"6 x 10-16",,NR,1.098901,'-,[1.08-1.12],LINC00299,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,2:8302118
rs1438673-<b>?</b>,"5 x 10-20",,NR,1.098901,'-,[1.08-1.12],"AC010468.2, WDR36","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,5:111131801
rs6881270-<b>?</b>,"3 x 10-15",,NR,1.098901,'-,[1.08-1.12],IL7R,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,5:35878993
rs72823641-<b>?</b>,"2 x 10-27",,NR,1.1235955,'-,'-,"IL1RL1, IL18R1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,2:102319699
rs12743520-<b>?</b>,"7 x 10-9",,NR,1.0752687,'-,[1.04-1.1],EVI5,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,1:92571555
rs659529-<b>?</b>,"1 x 10-10",,NR,1.0752687,'-,[1.05-1.1],"LAYN, SIK2","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,11:111566171
rs10414065-<b>?</b>,"3 x 10-10",,NR,1.098901,'-,'-,"AC008738.6, SLC7A10","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,19:33230549
rs742230-<b>?</b>,"1 x 10-8",,NR,1.0638298,'-,[1.04-1.09],RUNX3,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,1:24924933
rs9911533-<b>?</b>,"1 x 10-15",,NR,1.0869565,'-,'-,"AC004585.2, SMARCE1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,17:40619224
rs10008032-<b>?</b>,"2 x 10-10",,NR,1.0638298,'-,[1.04-1.09],"RNA5SP158, KLF3","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,4:38743861
rs36045143-<b>?</b>,"2 x 10-21",,NR,1.0752687,'-,'-,CLEC16A,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,16:11131109
rs1837253-<b>?</b>,"4 x 10-21",,NR,1.0752687,'-,'-,"TSLP, AC010395.1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,5:111066174
rs34290285-<b>?</b>,"5 x 10-17",,NR,1.0752687,'-,'-,D2HGDH,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,2:241759225
rs8043253-<b>?</b>,"4 x 10-8",,NR,1.06,'-,[1.04-1.08],EXD1,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,15:41211532
rs11171739-<b>?</b>,"4 x 10-10",,NR,1.07,'-,[1.04-1.09],ERBB3,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,12:56076841
rs2766664-<b>?</b>,"1 x 10-11",,NR,1.08,'-,[1.06-1.11],AL157838.1,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,20:53554702
rs56062135-<b>?</b>,"6 x 10-13",,NR,1.09,'-,[1.06-1.12],SMAD3,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,15:67163292
rs11645657-<b>?</b>,"7 x 10-17",,NR,1.09,'-,[1.07-1.11],CLEC16A,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,16:11129597
rs7936070-<b>?</b>,"4 x 10-22",,NR,1.1,'-,[1.08-1.13],"EMSY, AP001189.2","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,11:76582483
rs61839660-<b>?</b>,"4 x 10-12",,NR,1.12,'-,[1.09-1.16],IL2RA,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,10:6052734
rs7705653-<b>?</b>,"2 x 10-20",,NR,1.14,'-,[1.11-1.17],"AC008782.1, SLC25A46","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,5:110807116
rs56267624-<b>?</b>,"2 x 10-8",,NR,1.14,'-,[1.09-1.2],RAD51B,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,14:68195642
rs115288876-<b>?</b>,"2 x 10-8",,NR,1.15,'-,[1.09-1.21],AL450992.2,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,1:152027641
rs76962799-<b>?</b>,"4 x 10-8",,NR,1.15,'-,[1.09-1.21],"GTF3AP1, AL162384.1","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,9:6187132
rs61816766-<b>?</b>,"3 x 10-11",,NR,1.21,'-,[1.14-1.28],FLG-AS1,"Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,1:152347096
rs9273374-<b>?</b>,"8 x 10-35",,NR,1.1904762,'-,'-,"HLA-DQA1, HLA-DQB1","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,6:32658837
rs9911533-<b>?</b>,"2 x 10-16",,NR,1.0869565,'-,[1.06-1.11],"AC004585.2, SMARCE1","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,17:40619224
rs1241357-<b>?</b>,"1 x 10-14",,NR,1.098901,'-,'-,"AC009597.2, RNU6-13P","Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,8:56793197
rs6881270-<b>?</b>,"2 x 10-14",,NR,1.098901,'-,'-,IL7R,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,5:35878993
rs3208007-<b>?</b>,"3 x 10-8",,NR,1.0752687,'-,[1.04-1.1],"RTEL1-TNFRSF6B, RTEL1","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,20:63690935
rs28393318-<b>?</b>,"2 x 10-19",,NR,1.0869565,'-,'-,TLR10,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,4:38782646
rs1214598-<b>?</b>,"5 x 10-10",,NR,1.0638298,'-,[1.04-1.09],"CD247, AL359962.3","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,1:167457187
rs1059513-<b>?</b>,"8 x 10-13",,NR,1.0869565,'-,'-,STAT6,"Asthma or allergic disease (pleiotropy)","allergy, asthma",GCST007564,12:57095926
rs1409123-<b>?</b>,"2 x 10-10",,NR,1.0638298,'-,[1.04-1.09],"CHCHD3P1, KRT8P37","Allergic disease (asthma, hay fever or eczema)","allergy, asthma",GCST007563,10:8540354
rs3126085-<b>A</b>,"6 x 10-12",,0.58,1.22,'-,[NR],FLG-AS1,"Atopic dermatitis","atopic eczema",GCST001106,1:152328341
rs45599938-<b>A</b>,"1 x 10-29",,0.3341,1.067,'-,[1.056-1.079],"IL21, IL2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,4:122465565
rs77665773-<b>T</b>,"3 x 10-10",,0.05889,1.075,'-,[1.052-1.099],"OTULIN, ANKH","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:14700894
rs72743461-<b>A</b>,"5 x 10-37",,0.237,1.084,'-,[1.071-1.097],SMAD3,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,15:67149412
rs981625-<b>G</b>,"3 x 10-14",,0.06511,1.086,'-,[1.064-1.109],LINC00393,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,13:73465798
rs144829310-<b>T</b>,"2 x 10-37",,0.1623,1.098,'-,[1.083-1.113],"IL33, GTF3AP1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,9:6208030
rs61839660-<b>T</b>,"3 x 10-28",,0.09897,1.104,'-,[1.085-1.123],IL2RA,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,10:6052734
rs7936312-<b>T</b>,"1 x 10-77",,0.4769,1.107,'-,[1.095-1.118],"AP001189.2, EMSY","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:76582682
rs12122629-<b>C</b>,"1 x 10-24",,0.04184,1.146,'-,[1.118-1.176],"TCHHL1, TCHH","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:152101640
rs112401631-<b>A</b>,"2 x 10-40",,0.01884,1.295,'-,[1.248-1.343],"AC004585.2, SMARCE1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,17:40608272
rs72823641-<b>T</b>,"1 x 10-78",,0.8633,1.1645511,'-,[1.15-1.18],"IL1RL1, IL18R1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:102319699
rs28407950-<b>C</b>,"7 x 10-70",,0.7564,1.1201972,'-,[1.11-1.13],"HLA-DQB1, HLA-DQA1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,6:32658571
rs28690449-<b>C</b>,"2 x 10-64",,0.7986,1.1238481,'-,[1.11-1.14],"TLR10, TLR1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,4:38787511
rs1438673-<b>C</b>,"7 x 10-62",,0.5166,1.0948106,'-,[1.08-1.11],"AC010468.2, WDR36","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:111131801
rs34290285-<b>G</b>,"6 x 10-58",,0.7452,1.1064395,'-,[1.09-1.12],D2HGDH,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:241759225
rs12935657-<b>G</b>,"6 x 10-45",,0.7558,1.0945709,'-,[1.08-1.11],CLEC16A,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,16:11125184
rs6881270-<b>C</b>,"3 x 10-44",,0.7254,1.0895619,'-,[1.08-1.1],IL7R,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:35878993
rs1775553-<b>C</b>,"1 x 10-31",,0.5768,1.0666666,'-,[1.06-1.08],"LINC00709, AC044784.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,10:9012362
rs3024971-<b>T</b>,"5 x 10-30",,0.893,1.1072971,'-,[1.09-1.13],STAT6,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,12:57099944
rs891058-<b>G</b>,"3 x 10-29",,0.7053,1.069862,'-,[1.06-1.08],LINC00299,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:8302417
rs117710327-<b>C</b>,"3 x 10-25",,0.93779,1.1282861,'-,[1.1-1.15],"SLC7A10, AC008738.6","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,19:33235672
rs1214598-<b>G</b>,"8 x 10-25",,0.6147,1.0596588,'-,[1.05-1.07],"CD247, AL359962.3","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:167457187
rs10519068-<b>G</b>,"3 x 10-24",,0.8722,1.0874293,'-,[1.07-1.1],RORA,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,15:60776505
rs905670-<b>G</b>,"8 x 10-23",,0.648,1.0577533,'-,[1.05-1.07],BACH2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,6:90248783
rs11213941-<b>T</b>,"3 x 10-18",,0.7096,1.0538518,'-,[1.04-1.07],"LAYN, SIK2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:111563369
rs2961920-<b>A</b>,"3 x 10-17",,0.7653,1.0559661,'-,[1.04-1.07],MIR3142HG,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:160484499
rs479844-<b>G</b>,"3 x 10-17",,0.5547,1.0472301,'-,[1.04-1.06],"AP5B1, OVOL1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:65784486
rs4648883-<b>C</b>,"4 x 10-16",,0.5803,1.046244,'-,[1.04-1.06],RUNX3,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:24934712
rs7725052-<b>T</b>,"2 x 10-14",,0.6082,1.0435146,'-,[1.03-1.05],"AC114977.1, AC114977.2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:40487168
rs449454-<b>G</b>,"9 x 10-14",,0.6168,1.0427529,'-,[1.03-1.05],NDFIP1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:142153497
rs653178-<b>T</b>,"3 x 10-14",,0.5173,1.0423181,'-,[1.03-1.05],ATXN2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,12:111569952
rs10910095-<b>G</b>,"4 x 10-13",,0.8659,1.0602206,'-,[1.04-1.08],"AL139246.2, AL139246.3","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:2579316
rs1940377-<b>G</b>,"8 x 10-13",,0.7895,1.0494281,'-,[1.04-1.06],"ETS1, LINC02098","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:128261371
rs3540-<b>G</b>,"2 x 10-13",,0.6767,1.0441684,'-,[1.03-1.06],IQGAP1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,15:90502176
rs4491851-<b>A</b>,"1 x 10-13",,0.5336,1.0417751,'-,[1.03-1.05],GLB1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:33042493
rs12440045-<b>C</b>,"2 x 10-13",,0.5279,1.0416667,'-,[1.03-1.05],"RTF1, ITPKA","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,15:41490486
rs113048054-<b>A</b>,"4 x 10-12",,0.93413,1.080497,'-,[1.06-1.1],"LINC01063, AC092933.2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:196616946
rs2689282-<b>C</b>,"5 x 10-12",,0.5203,1.0383137,'-,[1.03-1.05],SLC15A2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:121918956
rs9494883-<b>A</b>,"1 x 10-11",,0.96875,1.1149515,'-,[1.08-1.15],WAKMAR2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,6:137850329
rs6011033-<b>G</b>,"1 x 10-11",,0.7682,1.0454783,'-,[1.03-1.06],"RTEL1, RTEL1-TNFRSF6B","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,20:63691346
rs2139049-<b>G</b>,"2 x 10-11",,0.5012,1.0373445,'-,[1.03-1.05],PLCL1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:198022936
rs34210653-<b>G</b>,"2 x 10-10",,0.97875,1.1309658,'-,[1.09-1.17],ALOX15,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,17:4632019
rs16858573-<b>T</b>,"2 x 10-10",,0.8752,1.0546298,'-,[1.04-1.07],ARHGAP15,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:143118156
rs11685995-<b>C</b>,"2 x 10-10",,0.758,1.0415581,'-,[1.03-1.05],"CCL20, TDGF1P2","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:227857292
rs61192126-<b>T</b>,"9 x 10-10",,0.709,1.0379905,'-,[1.03-1.05],"AC134508.1, RYBP","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:72345701
rs7240948-<b>C</b>,"3 x 10-10",,0.6013,1.03584,'-,[1.03-1.05],STARD6,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,18:54338086
rs6021268-<b>T</b>,"2 x 10-9",,0.93884,1.0715816,'-,[1.05-1.1],NFATC2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,20:51524602
rs59183580-<b>A</b>,"2 x 10-9",,0.8707,1.0503098,'-,[1.03-1.07],AP000820.2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:95692306
rs12365699-<b>G</b>,"1 x 10-9",,0.8349,1.0459157,'-,[1.03-1.06],"AP004609.1, CXCR5","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,11:118872577
rs12623041-<b>C</b>,"1 x 10-9",,0.6802,1.0364842,'-,[1.03-1.05],"SOCAR, MIR4435-2HG, AC017002.4, AC017002.3","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:111505565
rs1143633-<b>C</b>,"1 x 10-9",,0.6486,1.0362694,'-,[1.03-1.05],IL1B,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:112832890
rs230504-<b>C</b>,"2 x 10-9",,0.6437,1.0349823,'-,[1.02-1.05],NFKB1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,4:102560404
rs8086340-<b>G</b>,"7 x 10-9",,0.5355,1.032418,'-,[1.02-1.04],TNFRSF11A,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,18:62339745
